IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
20927;4974;9723;8373;5184;7644;3861
26364;84;0;84;0;1010;0
37265;900;297;0;1386;2692;3720
82094;0;0;0;0;1125;1935
83547;85000;55000;150000;145000;155000;155000
96939;0;0;0;0;0;0
98997;3000;3750;7500;5750;5270;1550
107706;0;0;0;3480;12372;13850
108658;0;0;0;600;6600;1200
121657;2800;1200;1600;3500;9700;17500
122414;0;0;0;968;5300;9890
122504;0;0;0;0;0;0
125064;0;0;0;0;0;0
130736;0;0;0;0;0;0
136432;2700;3000;9000;7800;15550;14350
143522;1989;1027;520;881;0;900
159402;609;522;0;630;1560;2070
160898;960;240;0;2070;2710;4370
172391;0;260;0;370;0;1000
173810;0;0;0;0;24158;30949
183433;3500;1000;0;2750;4500;7250
210334;400;0;0;980;2000;400
214889;0;660;2310;0;4320;8180
219669;3380;780;0;5720;5980;8060
232516;3290;870;0;600;4390;10662
241856;0;0;0;0;2690;5066
246909;2756;633;0;643;4539;5651
247704;600;100;0;0;1700;438
251307;580;500;1250;3900;7100;17640
254529;0;0;0;0;7000;1750
271040;4320;4580;0;0;7300;2000
279586;1250;2250;7500;6500;6489;10150
280647;750;0;0;1150;3453;2560
284743;7266;2068;0;4214;9433;17013
291437;0;0;0;0;0;0
310211;1575;315;0;1492;2004;2256
317816;0;0;0;1770;4650;2300
317817;0;51;0;150;3210;3950
320985;0;0;0;4300;8400;9000
333619;796;1379;1620;1775;2262;4550
344879;995;1740;0;2094;5902;11291
346042;0;0;0;0;4499;6591
346066;0;0;0;249;4868;10263
355087;1060;600;0;936;2674;4324
356594;150;600;4500;4700;9380;13060
374728;0;2000;0;0;3300;3250
377277;980;240;0;800;4600;8960
381175;1600;13600;31000;30000;16000;19100
382920;1200;7500;29700;28000;42200;40700
382936;800;3600;5200;12400;24100;25000
405208;0;0;0;0;0;2151
407005;1092;1260;1302;1744;2966;8551
407012;1539;2376;1485;2970;1485;0
417356;0;600;0;240;1560;0
459886;3440;7920;13850;15130;8250;10100
459941;0;1000;15030;1620;7310;22830
482455;2862;6312;8418;5550;7320;9000
483460;0;0;0;0;30780;48510
501380;0;0;11750;4700;20650;19250
502266;2600;3200;6000;5400;3200;3200
506128;0;0;0;0;3600;8700
529985;0;0;0;300;0;0
530667;2156;118;41;2395;3205;3541
557553;3020;2548;4015;4518;5895;9800
606098;0;0;0;0;2600;43100
638306;550;2200;3315;3225;5580;7860
678519;0;550;1335;1705;4920;8860
690060;0;0;0;1480;4435;5535
693457;0;0;0;0;0;0
695655;0;0;0;0;0;4252
699497;0;0;0;0;6642;6846
711031;0;0;0;440;1879;10345
711032;0;0;0;0;0;0
714035;0;0;0;0;1205;2352
717432;0;0;0;0;7296;8853
748321;0;0;0;0;0;0
757679;0;0;0;5950;3106;3579
760663;0;0;0;680;1480;2920
763478;2760;3040;2340;3815;4321;7027
766984;0;0;0;6290;17110;42580
769533;0;0;0;0;591;2167
770390;0;0;0;0;6304;695
775767;200;0;0;0;9150;9020
778447;0;0;0;0;1456;10899
780520;0;0;0;0;0;0
780550;0;0;0;0;0;0
785879;0;0;0;500;4679;9962
789567;1875;625;3875;2446;2661;119
791864;0;0;0;1617;3070;192
803872;1475;885;0;0;0;595
810085;504;1626;3035;1901;1852;5245
831530;945;2772;3069;2970;3031;9978
840872;3500;3800;0;5750;10840;11800
843764;0;0;0;1816;1696;0
845018;1087;0;0;0;1192;4060
849141;0;0;0;0;3874;1007
858163;0;0;0;0;2994;19995
858631;2241;4384;2232;7373;8722;11936
914290;380;830;1050;1350;3139;1320
916563;1560;420;0;1860;540;7800
919272;0;0;0;0;2100;4420
919816;0;0;0;0;2000;0
921513;0;0;0;8100;9600;20150
932491;0;2143;129;2645;1560;0
942411;0;0;0;0;0;0
942481;6890;1800;0;10440;14574;30146
943053;4780;1200;10920;12650;6050;0
944722;0;0;0;710;1240;1920
948077;23140;17090;12605;16101;11162;8775
950857;0;0;0;0;0;1184
951984;0;0;0;391;5522;6241
953579;2340;6030;1820;170;7950;9500
959701;0;0;0;0;0;22000
982402;0;0;0;0;0;0
987769;3910;460;0;460;4860;6650
996365;0;0;0;0;2750;4520
1013996;510;2700;4450;6770;1400;1170
1015554;0;0;0;2150;16200;11750
1021209;480;350;105;3360;3080;0
1032441;1080;1459;960;11800;13076;0
1062103;2340;3260;3720;3150;4545;5280
1062162;45;145;285;280;865;1025
1084324;10400;2400;0;2400;0;0
1092957;0;0;0;0;900;7200
1125155;180;4500;1080;5710;9980;12957
1170893;285;744;0;1803;4787;5271
1176885;0;1120;16796;1172;4619;0
1273100;2040;600;1200;2040;7690;3130
1335262;1391;1593;2651;2940;1528;0
1339479;154;0;0;0;6460;8366
1340681;0;0;0;1700;3200;0
1436323;0;0;0;3521;0;0
1528046;0;0;0;2506;716;716
1562295;0;0;1992;2712;10007;15785
1564315;0;0;0;0;0;0
1572098;0;0;0;0;3905;9276
1591239;0;0;0;0;0;8800
1594006;0;0;0;0;255;0
1602355;250;250;1550;100;2080;2280
1625381;0;3630;0;0;8040;10980
1646016;0;0;0;0;2800;4500
1678374;0;0;0;3150;1400;1050
1682132;2016;950;220;2816;6794;11650
1687703;0;2250;1920;5940;12600;21750
1727343;1701;189;0;0;3605;0
1737314;0;0;0;0;19855;11913
1745409;0;0;0;600;2100;4500
1755539;1683;2932;2930;2560;3667;2549
1801919;0;0;0;8060;0;0
1805848;2400;540;0;920;5330;9739
1812086;0;0;0;250;1500;2000
1823080;706;0;0;1500;7938;12554
