IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
20927;13;26;24;16;25;14
26364;1;0;1;0;10;0
37265;10;3;0;14;19;20
82094;0;0;0;0;17;31
83547;17;11;30;29;31;31
96939;0;0;0;0;0;0
98997;12;15;30;23;17;5
107706;0;0;0;10;24;25
108658;0;0;0;1;11;2
121657;14;6;8;14;18;25
122414;0;0;0;4;10;22
122504;0;0;0;0;0;0
125064;0;0;0;0;0;0
130736;0;0;0;0;0;0
136432;9;10;30;26;27;23
143522;17;8;4;7;0;6
159402;7;6;0;7;16;20
160898;12;3;0;14;21;30
172391;0;3;0;2;0;6
173810;0;0;0;0;7;9
183433;14;4;0;11;18;29
210334;4;0;0;9;20;4
214889;0;2;7;0;8;17
219669;13;3;0;22;23;31
232516;13;3;0;2;10;29
241856;0;0;0;0;10;20
246909;13;3;0;3;15;31
247704;6;1;0;0;12;4
251307;4;2;5;20;14;30
254529;0;0;0;0;4;1
271040;24;23;0;0;26;8
279586;5;9;30;26;27;29
280647;15;0;0;23;30;31
284743;14;4;0;8;18;31
291437;0;0;0;0;0;0
310211;15;3;0;14;21;24
317816;0;0;0;16;26;9
317817;0;1;0;1;21;25
320985;0;0;0;20;26;30
333619;14;25;27;26;15;13
344879;5;6;0;6;15;31
346042;0;0;0;0;21;29
346066;0;0;0;1;15;31
355087;9;5;0;10;18;29
356594;1;4;30;25;30;31
374728;0;8;0;0;11;13
377277;14;4;0;8;23;31
381175;2;17;31;30;16;17
382920;2;12;30;28;31;31
382936;2;9;7;30;30;31
405208;0;0;0;0;0;9
407005;26;30;31;30;31;29
407012;27;24;15;30;15;0
417356;0;5;0;2;13;0
459886;7;18;31;29;16;15
459941;0;2;30;3;7;28
482455;8;18;23;17;12;15
483460;0;0;0;0;17;29
501380;0;0;5;2;7;7
502266;13;16;30;27;16;21
506128;0;0;0;0;12;29
529985;0;0;0;6;0;0
530667;25;2;1;29;31;31
557553;17;17;27;29;27;31
606098;0;0;0;0;2;31
638306;4;21;31;26;15;30
678519;0;11;23;29;29;31
690060;0;0;0;16;22;27
693457;0;0;0;0;0;0
695655;0;0;0;0;0;4
699497;0;0;0;0;26;21
711031;0;0;0;2;4;27
711032;0;0;0;0;0;0
714035;0;0;0;0;8;15
717432;0;0;0;0;26;31
748321;0;0;0;0;0;0
757679;0;0;0;17;14;25
760663;0;0;0;9;8;23
763478;14;19;15;23;23;27
766984;0;0;0;13;18;22
769533;0;0;0;0;3;11
770390;0;0;0;0;27;3
775767;1;0;0;0;27;27
778447;0;0;0;0;4;31
780520;0;0;0;0;0;0
780550;0;0;0;0;0;0
785879;0;0;0;2;14;31
789567;15;5;31;20;21;1
791864;0;0;0;16;31;2
803872;25;15;0;0;0;5
810085;7;21;31;17;12;26
831530;21;28;31;30;29;31
840872;14;15;0;23;30;31
843764;0;0;0;16;15;0
845018;11;0;0;0;8;17
849141;0;0;0;0;15;5
858163;0;0;0;0;4;28
858631;9;16;9;25;25;29
914290;2;5;7;9;12;6
916563;13;3;0;7;2;13
919272;0;0;0;0;9;23
919816;0;0;0;0;5;0
921513;0;0;0;9;14;31
932491;0;15;1;22;15;0
942411;0;0;0;0;0;0
942481;13;3;0;13;15;29
943053;13;5;30;23;11;0
944722;0;0;0;5;9;14
948077;26;24;20;26;22;18
950857;0;0;0;0;0;12
951984;0;0;0;2;22;27
953579;13;30;8;1;20;23
959701;0;0;0;0;0;22
982402;0;0;0;0;0;0
987769;17;2;0;2;18;22
996365;0;0;0;0;11;18
1013996;3;15;31;27;4;3
1015554;0;0;0;5;26;26
1021209;3;1;1;19;14;0
1032441;2;3;2;23;23;0
1062103;22;28;28;24;23;22
1062162;1;3;6;5;10;13
1084324;13;3;0;3;0;0
1092957;0;0;0;0;2;16
1125155;1;23;6;27;31;31
1170893;2;8;0;16;18;20
1176885;0;2;30;2;8;0
1273100;17;5;10;17;25;8
1335262;22;23;31;30;14;0
1339479;2;0;0;0;19;30
1340681;0;0;0;8;15;0
1436323;0;0;0;14;0;0
1528046;0;0;0;14;4;4
1562295;0;0;8;8;23;29
1564315;0;0;0;0;0;0
1572098;0;0;0;0;12;30
1591239;0;0;0;0;0;22
1594006;0;0;0;0;1;0
1602355;5;5;31;2;19;19
1625381;0;24;0;0;24;24
1646016;0;0;0;0;7;9
1678374;0;0;0;7;4;3
1682132;21;10;2;21;18;31
1687703;0;5;4;11;15;27
1727343;9;1;0;0;12;0
1737314;0;0;0;0;5;3
1745409;0;0;0;2;7;15
1755539;17;30;31;23;28;16
1801919;0;0;0;13;0;0
1805848;20;4;0;5;20;31
1812086;0;0;0;1;6;8
1823080;8;0;0;12;24;30
1824344;0;14;12;22;26;30
1830012;0;2;30;22;11;22
1836948;0;0;0;0;0;9
1847190;19;17;16;21;6;7
1847881;11;5;30;7;3;1
